POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
HARTRANFT SCHOOL,720 W CUMBERLAND ST,M,N,19133,39.989363,-75.144727,1,range_interpolation,720,W Cumberland St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
HARTRANFT SCHOOL,720 W CUMBERLAND ST,M,N,19133,39.989363,-75.144727,1,range_interpolation,720,W Cumberland St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
POTTER THOMAS SCHOOL,3001 N 06TH ST,R,L,19133,39.997577,-75.140352,0.99,rooftop,3001-65,N 6th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
ST JOHN MEMORIAL BAPTIST CHURCH,2853 GERMANTOWN AVE,M,N,19133,39.995885,-75.146698,0.99,rooftop,2853-61,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
NORTH PROVIDENCE BAPTIST CHURCH,2909 N 08TH ST,M,N,19133,39.9961,-75.144157,1,rooftop,2909,N 8th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
POTTER THOMAS SCHOOL,3001 N 06TH ST,R,L,19133,39.997577,-75.140352,0.99,rooftop,3001-65,N 6th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
POTTER THOMAS SCHOOL,3001 N 06TH ST,R,L,19133,39.997577,-75.140352,0.99,rooftop,3001-65,N 6th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
COMMUNITY CENTER [3018-A N PERCY ST],3018-A N PERCY ST,M,N,19133,39.998134,-75.145744,1,nearest_rooftop_match,3018,N Percy St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
ABBOTTSFORD HOMES COMMUNITY CENTER (PHA),3226 MCMICHAEL ST,F,H,19129,40.011571,-75.180869,1,range_interpolation,3226,McMichael St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
DEVEREAUX MEMORIAL CHURCH,2527 W ALLEGHENY AVE,M,L,19132,40.003864,-75.171731,1,range_interpolation,2527,W Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
DEVEREAUX MEMORIAL CHURCH,2527 W ALLEGHENY AVE,M,L,19132,40.003864,-75.171731,1,range_interpolation,2527,W Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
DEVEREAUX MEMORIAL CHURCH,2527 W ALLEGHENY AVE,M,L,19132,40.003864,-75.171731,1,range_interpolation,2527,W Allegheny Ave,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
E W RHODES SCHOOL,2900 W CLEARFIELD ST,M,L,19132,40.002399,-75.178201,1,rooftop,2900,W Clearfield St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
E W RHODES SCHOOL,2900 W CLEARFIELD ST,M,L,19132,40.002399,-75.178201,1,rooftop,2900,W Clearfield St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
E W RHODES SCHOOL,2900 W CLEARFIELD ST,M,L,19132,40.002399,-75.178201,1,rooftop,2900,W Clearfield St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
E W RHODES SCHOOL,2900 W CLEARFIELD ST,M,L,19132,40.002399,-75.178201,1,rooftop,2900,W Clearfield St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
THE SMART CENTER DAYCARE,3301 W WESTMORELAND ST,M,L,19129,40.006749,-75.184226,1,rooftop,3301,W Westmoreland St,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
THE SMART CENTER DAYCARE,3301 W WESTMORELAND ST,M,L,19129,40.006749,-75.184226,1,rooftop,3301,W Westmoreland St,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
PENN CHARTER SQUASH COURTS,3001 W SCHOOL HOUSE LN,M,L,19144,40.024962,-75.187647,1,rooftop,3001,W School House Ln,,,Philadelphia,PA,Philadelphia County,19144,US,Philadelphia
FALLS OF SCHUYLKILL LIBRARY,3501 MIDVALE AVE,M,N,19129,40.014288,-75.192373,1,rooftop,3501,Midvale Ave,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
MIFFLIN SCHOOL,3624 CONRAD ST,M,L,19129,40.013847,-75.191288,1,range_interpolation,3624,Conrad St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
MIFFLIN SCHOOL,3624 CONRAD ST,M,L,19129,40.013847,-75.191288,1,range_interpolation,3624,Conrad St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
MIFFLIN SCHOOL,3624 CONRAD ST,M,L,19129,40.013847,-75.191288,1,range_interpolation,3624,Conrad St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
MIFFLIN SCHOOL,3624 CONRAD ST,M,L,19129,40.013847,-75.191288,1,range_interpolation,3624,Conrad St,,,Philadelphia,PA,Philadelphia County,19129,US,TIGER/Line® dataset from the US Census Bureau
SALVATION ARMY- KROC CENTER,4200 WISSAHICKON AVE,F,H,19129,40.011491,-75.169759,1,rooftop,4200,Wissahickon Ave,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
FALLS OF SCHUYLKILL LIBRARY,3501 MIDVALE AVE,M,N,19129,40.014288,-75.192373,1,rooftop,3501,Midvale Ave,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
FALLS OF SCHUYLKILL LIBRARY,3501 MIDVALE AVE,M,N,19129,40.014288,-75.192373,1,rooftop,3501,Midvale Ave,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
FALLS OF SCHUYLKILL LIBRARY,3501 MIDVALE AVE,M,N,19129,40.014288,-75.192373,1,rooftop,3501,Midvale Ave,,,Philadelphia,PA,Philadelphia County,19129,US,Philadelphia
PANATI RECREATION CENTER,3100 N 22ND ST,F,L,19132,40.001803,-75.16646,1,rooftop,3100,N 22nd St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
FUMO BRANCH LIBRARY,2437 S BROAD ST,M,N,19148,39.920157,-75.170374,1,range_interpolation,2437,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SEAFARERS UNION HALL,2604 S 04TH ST,M,N,19148,39.91602,-75.154919,1,range_interpolation,2604,S 4th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
TAGGART SCHOOL,400 W PORTER ST,M,N,19148,39.91745,-75.1545,1,range_interpolation,400,W Porter St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
FURNESS SCHOOL,1900 S 03RD ST,R,N,19148,39.923787,-75.150892,1,rooftop,1900,S 3rd St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FURNESS SCHOOL,1900 S 03RD ST,R,N,19148,39.923787,-75.150892,1,rooftop,1900,S 3rd St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
WHITMAN BRANCH LIBRARY,200 SNYDER AVE,M,N,19148,39.921213,-75.15045,1,rooftop,200,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SNYDER AVE CONGREGATION CHURCH,300 SNYDER AVE,B,N,19148,39.92183,-75.151416,1,rooftop,300,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FORD RECREATION CENTER,609 SNYDER AVE,F,N,19148,39.923029,-75.157141,0.99,rooftop,609-29,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FORD RECREATION CENTER,609 SNYDER AVE,F,N,19148,39.923029,-75.157141,0.99,rooftop,609-29,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SEAFARERS UNION HALL,2604 S 04TH ST,M,N,19148,39.91602,-75.154919,1,range_interpolation,2604,S 4th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SEAFARERS UNION HALL,2604 S 04TH ST,M,N,19148,39.91602,-75.154919,1,range_interpolation,2604,S 4th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
CHICKIES & PETE'S PLAY 2,1526 PACKER AVE,M,H,19145,39.911568,-75.175003,1,rooftop,1526,Packer Ave,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
SNYDER AVE CONGREGATION CHURCH,300 SNYDER AVE,B,N,19148,39.92183,-75.151416,1,rooftop,300,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SEAFARERS UNION HALL,2604 S 04TH ST,M,N,19148,39.91602,-75.154919,1,range_interpolation,2604,S 4th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
TAGGART SCHOOL,400 W PORTER ST,M,N,19148,39.91745,-75.1545,1,range_interpolation,400,W Porter St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
GARAGE [830 RITNER ST],830 RITNER ST REAR,R,N,19148,39.919348,-75.161668,1,rooftop,830,Ritner St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FORD RECREATION CENTER,609 SNYDER AVE,F,N,19148,39.923029,-75.157141,0.99,rooftop,609-29,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SNYDER AVE CONGREGATION CHURCH,300 SNYDER AVE,B,N,19148,39.92183,-75.151416,1,rooftop,300,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
WHITMAN BRANCH LIBRARY,200 SNYDER AVE,M,N,19148,39.921213,-75.15045,1,rooftop,200,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
TAGGART SCHOOL,400 W PORTER ST,M,N,19148,39.91745,-75.1545,1,range_interpolation,400,W Porter St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
STOREFRONT [2302 S 07TH ST],2302 S 07TH ST,B,N,19148,39.920274,-75.15895,1,rooftop,2302,S 7th St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SEAFARERS UNION HALL,2604 S 04TH ST,M,N,19148,39.91602,-75.154919,1,range_interpolation,2604,S 4th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
BOK BUILDING,1901 S 09TH ST,F,N,19148,39.925209,-75.160083,1,rooftop,1901,S 9th St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FORD RECREATION CENTER,609 SNYDER AVE,F,N,19148,39.923029,-75.157141,0.99,rooftop,609-29,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FUMO BRANCH LIBRARY,2437 S BROAD ST,M,N,19148,39.920157,-75.170374,1,range_interpolation,2437,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
BOK BUILDING,1901 S 09TH ST,F,N,19148,39.925209,-75.160083,1,rooftop,1901,S 9th St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MARCONI PLAZA BOCCE COURTS,2800 S BROAD ST,M,N,19145,39.916606,-75.171422,1,range_interpolation,2800,S Broad St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
JENKS SCHOOL TRAILER,2501 S 13TH ST,M,N,19148,39.919273,-75.168668,1,range_interpolation,2501,S 13th St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
FORD RECREATION CENTER,609 SNYDER AVE,F,N,19148,39.923029,-75.157141,0.99,rooftop,609-29,Snyder Ave,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
SOUTH PHILA HIGH SCHOOL,2101 S BROAD ST,M,H,19148,39.923596,-75.168721,1,rooftop,2101,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
FUMO BRANCH LIBRARY,2437 S BROAD ST,M,N,19148,39.920157,-75.170374,1,range_interpolation,2437,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
MASTERY THOMAS CHARTER SCHOOL,927 JOHNSTON ST,F,N,19148,39.91458,-75.163323,1,range_interpolation,927,Johnston St,,,Philadelphia,PA,Philadelphia County,19148,US,TIGER/Line® dataset from the US Census Bureau
EAST PASSYUNK COMMUNITY CENTER,1025-33 MIFFLIN ST,F,N,19148,39.926442,-75.163408,1,rooftop,1025-33,Mifflin St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
P G W BUILDING [BROAD & TASKER],1601 S BROAD ST,M,N,19148,39.930311,-75.167979,0.99,rooftop,1601-3,S Broad St,,,Philadelphia,PA,Philadelphia County,19148,US,Philadelphia
ROBERT BRADY VETERANS CENTER,6250 EASTWICK AVE,M,N,19142,39.920172,-75.22203,1,rooftop,6250,Eastwick Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
FRANCIS MYERS RECREATION CENTER,5801 KINGSESSING AVE,A,L,19143,39.934511,-75.227252,1,range_interpolation,5801,Kingsessing Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
EZEKIEL BAPTIST CHURCH,5701 GRAYS AVE,A,L,19143,39.930983,-75.221549,0.99,rooftop,5701-39,Grays Ave,,,Philadelphia,PA,Philadelphia County,19143,US,Philadelphia
BARTRAM VILLAGE OFFICE (PHA),5404 GIBSON DR,F,L,19143,39.931946,-75.21649,0.9,range_interpolation,5404,Gibson Dr,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
SALT AND LIGHT,5736 CHESTER AVE,M,L,19143,39.935938,-75.227972,1,range_interpolation,5736,Chester Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
MORTON SCHOOL,2501 S 63RD ST,R,L,19142,39.924185,-75.227724,1,range_interpolation,2501,S 63rd St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
FRANCIS MYERS RECREATION CENTER,5801 KINGSESSING AVE,A,L,19143,39.934511,-75.227252,1,range_interpolation,5801,Kingsessing Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
FRANCIS MYERS RECREATION CENTER,5801 KINGSESSING AVE,A,L,19143,39.934511,-75.227252,1,range_interpolation,5801,Kingsessing Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
SALT AND LIGHT,5736 CHESTER AVE,M,L,19143,39.935938,-75.227972,1,range_interpolation,5736,Chester Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
SOUTHWEST CDC,6328 PASCHALL AVE,M,L,19142,39.926008,-75.230715,1,range_interpolation,6328,Paschall Ave,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
CATHARINE SCHOOL ANNEX,6900 GREENWAY AVE,M,L,19142,39.922087,-75.241453,1,rooftop,6900,Greenway Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
MORTON SCHOOL,2501 S 63RD ST,R,L,19142,39.924185,-75.227724,1,range_interpolation,2501,S 63rd St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
STRAIGHT GATE CHURCH,6000 ELMWOOD AVE,F,L,19143,39.926719,-75.223328,0.89,rooftop,Apr-00,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
STRAIGHT GATE CHURCH,6000 ELMWOOD AVE,F,L,19143,39.926719,-75.223328,0.89,rooftop,Apr-00,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
MORTON SCHOOL,2501 S 63RD ST,R,L,19142,39.924185,-75.227724,1,range_interpolation,2501,S 63rd St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
MORTON SCHOOL,2501 S 63RD ST,R,L,19142,39.924185,-75.227724,1,range_interpolation,2501,S 63rd St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE,M,L,19142,39.921694,-75.233203,1,rooftop,6601,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
MORTON SCHOOL,2501 S 63RD ST,R,L,19142,39.924185,-75.227724,1,range_interpolation,2501,S 63rd St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
SOUTHWEST CDC,6328 PASCHALL AVE,M,L,19142,39.926008,-75.230715,1,range_interpolation,6328,Paschall Ave,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
SOUTHWEST CDC,6328 PASCHALL AVE,M,L,19142,39.926008,-75.230715,1,range_interpolation,6328,Paschall Ave,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
CATHARINE SCHOOL,6600 CHESTER AVE,M,L,19142,39.927289,-75.239815,1,rooftop,6600,Chester Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE,M,L,19142,39.921694,-75.233203,1,rooftop,6601,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
CATHARINE SCHOOL,6600 CHESTER AVE,M,L,19142,39.927289,-75.239815,1,rooftop,6600,Chester Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
CATHARINE SCHOOL,6600 CHESTER AVE,M,L,19142,39.927289,-75.239815,1,rooftop,6600,Chester Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
CATHARINE SCHOOL ANNEX,6900 GREENWAY AVE,M,L,19142,39.922087,-75.241453,1,rooftop,6900,Greenway Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
SOUTHWEST CDC,6328 PASCHALL AVE,M,L,19142,39.926008,-75.230715,1,range_interpolation,6328,Paschall Ave,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE,M,L,19142,39.921694,-75.233203,1,rooftop,6601,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
ROBERT BRADY VETERANS CENTER,6250 EASTWICK AVE,M,N,19142,39.920172,-75.22203,1,rooftop,6250,Eastwick Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
JAMES FINNEGAN RECREATION CENTER,6801 GROVERS AVE,M,L,19153,39.914818,-75.231469,0.88,rooftop,6801,Grovers Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
ST PAULS AME CHURCH,8398 LINDBERGH BLVD,M,H,19153,39.897636,-75.25192,1,range_interpolation,8398,Lindbergh Blvd,,,Philadelphia,PA,Philadelphia County,19153,US,TIGER/Line® dataset from the US Census Bureau
HARDY WILLIAMS VETERANS CENTER,7100 GROVERS AVE,F,H,19153,39.911558,-75.235605,1,rooftop,7100,Grovers Ave,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
DAYCARE [YOUR CHILD'S WORLD],2406 S 71ST ST,M,L,19142,39.916977,-75.240321,1,range_interpolation,2406,S 71st St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
PASCHALVILLE LIBRARY,6942 WOODLAND AVE,B,L,19142,39.920453,-75.240919,1,rooftop,6942,Woodland Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
PASCHALVILLE HOMES COMMUNITY CTR (PHA),7200 WOODLAND AVE,F,N,19142,39.918567,-75.243767,1,rooftop,7200,Woodland Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
CIBOTTI RECREATION CENTER,2500 S 77TH ST,F,L,19153,39.905628,-75.251124,1,rooftop,2500,S 77th St,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
EASTWICK LIBRARY,2851 ISLAND AVE,M,L,19153,39.905688,-75.240173,1,rooftop,2851,Island Ave,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
RESIDENCE [7537 DICKENS PLACE],7537 DICKENS PL,R,N,19153,39.909965,-75.246834,1,rooftop,7537,Dickens Pl,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
EASTWICK RECREATION CENTER,7931 MARS PL,M,L,19153,39.904124,-75.250602,1,rooftop,7931,Mars Pl,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE,M,L,19142,39.921694,-75.233203,1,rooftop,6601,Elmwood Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
ST PAULS AME CHURCH,8398 LINDBERGH BLVD,M,H,19153,39.897636,-75.25192,1,range_interpolation,8398,Lindbergh Blvd,,,Philadelphia,PA,Philadelphia County,19153,US,TIGER/Line® dataset from the US Census Bureau
DAYCARE [YOUR CHILD'S WORLD],2406 S 71ST ST,M,L,19142,39.916977,-75.240321,1,range_interpolation,2406,S 71st St,,,Philadelphia,PA,Philadelphia County,19142,US,TIGER/Line® dataset from the US Census Bureau
PENROSE SCHOOL (GYM),2515 S 78TH ST,M,L,19153,39.907297,-75.247853,1,rooftop,2515,S 78th St,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
JAMES FINNEGAN RECREATION CENTER,6801 GROVERS AVE,M,L,19153,39.914818,-75.231469,0.88,rooftop,6801,Grovers Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
PENROSE SCHOOL (GYM),2515 S 78TH ST,M,L,19153,39.907297,-75.247853,1,rooftop,2515,S 78th St,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
CIBOTTI RECREATION CENTER,2500 S 77TH ST,F,L,19153,39.905628,-75.251124,1,rooftop,2500,S 77th St,,,Philadelphia,PA,Philadelphia County,19153,US,Philadelphia
JAMES FINNEGAN RECREATION CENTER,6801 GROVERS AVE,M,L,19153,39.914818,-75.231469,0.88,rooftop,6801,Grovers Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
PASCHALVILLE HOMES COMMUNITY CTR (PHA),7200 WOODLAND AVE,F,N,19142,39.918567,-75.243767,1,rooftop,7200,Woodland Ave,,,Philadelphia,PA,Philadelphia County,19142,US,Philadelphia
